,/,},id,while,fc,:=,-,if,else,scan,prog,print,and,float,<,do,;,then,str,not,(,$,=,ic,+,int,),>,or,end,{,∗
IS',,,,,,,,,else SL end,,,,,,,,,,,,,,,,,,,,,end,,
E,,,T E'',,T E'',,,,,,,,,,,,,,,,T E'',,,T E'',,,,,,,,
RE',,,,,,,,,,,,,,,< E,,,,,,,,= E,,,,,> E,,,,
T'',T' T'',epsilon,epsilon,epsilon,,,epsilon,epsilon,epsilon,epsilon,,epsilon,epsilon,,epsilon,epsilon,epsilon,epsilon,,,,,epsilon,,epsilon,,epsilon,epsilon,epsilon,epsilon,,T' T''
BE,,,AE BE',,AE BE',,,,,,,,,,,,,,,AE BE',AE BE',,,AE BE',,,,,,,AE BE',
E'',,epsilon,epsilon,epsilon,,,E' E'',epsilon,epsilon,epsilon,,epsilon,epsilon,,epsilon,epsilon,epsilon,epsilon,,,,,epsilon,,E' E'',,epsilon,epsilon,epsilon,epsilon,,
RE,,,E RE',,E RE',,,,,,,,,,,,,,,,E RE',,,E RE',,,,,,,,
T,,,F T'',,F T'',,,,,,,,,,,,,,,,F T'',,,F T'',,,,,,,,
F,,,id,,fc,,,,,,,,,,,,,,,,( E ),,,ic,,,,,,,,
AE,,,NE AE',,NE AE',,,,,,,,,,,,,,,NE AE',NE AE',,,NE AE',,,,,,,NE AE',
S,,,ES,WS,,,,IS,,IOS,,IOS,,,,,,,,,,,,,,,,,,,,
VL',,,id VL',,,,,,,,,,,,,,epsilon,,,,,,,,,,,,,,,
IOS,,,,,,,,,,scan id,,print PE,,,,,,,,,,,,,,,,,,,,
PE,,,E,,E,,,,,,,,,,,,,,str,,E,,,E,,,,,,,,
SL,,,S SL,S SL,,,,S SL,epsilon,S SL,,S SL,,,,,,,,,,,,,,,,,,epsilon,,
VL,,,id VL',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WS,,,,while BE do SL end,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,,,RE,,RE,,,,,,,,,,,,,,,not NE,RE,,,RE,,,,,,,{ BE },
T',/ F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,∗ F
DL,,,epsilon,epsilon,,,,epsilon,,epsilon,,epsilon,,D DL,,,,,,,,,,,,D DL,,,,epsilon,,
IS,,,,,,,,if BE then SL IS',,,,,,,,,,,,,,,,,,,,,,,,
E',,,,,,,- T,,,,,,,,,,,,,,,,,,+ T,,,,,,,
BE',,epsilon,,,,,,,,,,,,,,epsilon,,epsilon,,,,,,,,,,,or AE BE',,,
D,,,,,,,,,,,,,,TY VL ;,,,,,,,,,,,,TY VL ;,,,,,,
ES,,,id := E ;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE',,epsilon,,,,,,,,,,,and NE AE',,,epsilon,,epsilon,,,,,,,,,,,epsilon,,,
P,,,,,,,,,,,prog DL SL end,,,,,,,,,,,,,,,,,,,,,
TY,,,,,,,,,,,,,,float,,,,,,,,,,,,int,,,,,,
